player_name(team_name),m1(run),m1(bowl),m1(sr),m1(op),m1(vnu),m2(run),m2(bowl),m2(sr),m2(4),m2(6),m2(op),m2(vnu),m3(run),m3(bowl),m3(sr),m3(4),m3(6),m3(op),m3(vnu),m4(run),m4(bowl),m4(sr),m4(4),m4(6),m4(op),m4(vnu),m5(run),m5(bowl),m5(sr),m5(4),m5(6),m5(op),m5(vnu),m6(run),m6(bowl),m6(sr),m6(4),m6(6),m6(op),m6(vnu),m7(run),m7(bowl),m7(sr),m7(4),m7(6),m7(op),m7(vnu),m8(run),m8(bowl),m8(sr),m8(4),m8(6),m8(op),m8(vnu),m9(run),m9(bowl),m9(sr),m9(4),m9(6),m9(op),m9(vnu),m10(run),m10(bowl),m10(sr),m10(4),m10(6),m10(op),m10(vnu),t(50),t(100),t(4),t(6),truns,tbf,avg.run,avg.sr,rf(50),rf(100),drb,truns(%),tbf(%),country,player_role,match_format,venue_type,opposition,pitch_type,weather,opposition_strength,recent_form_score,consistency_score,performance_label,source_file,wickets,m1(rab),m1(4),m1(6),m1(over),m1(wic),m1(mdn),m1(ecn),m1(w/l),m2(rab),m2(over),m2(wic),m2(mdn),m2(ecn),m2(w/l),m3(rab),m3(over),m3(wic),m3(mdn),m3(ecn),m3(w/l),m4(rab),m4(over),m4(wic),m4(mdn),m4(ecn),m4(w/l),m5(rab),m5(over),m5(wic),m5(mdn),m5(ecn),m5(w/l),m6(rab),m6(over),m6(wic),m6(mdn),m6(ecn),m6(w/l),m7(rab),m7(over),m7(wic),m7(mdn),m7(ecn),m7(w/l),m8(rab),m8(over),m8(wic),m8(mdn),m8(ecn),m8(w/l),m9(rab),m9(over),m9(wic),m9(mdn),m9(ecn),m9(w/l),m10(rab),m10(over),m10(wic),m10(mdn),m10(ecn),m10(w/l),t.wic,t.mdn,avg.rab,avg.bf,batting.sr,avg.over,avg.run.given,ecn,trab,t.over,ballsbowled,trungiven,bsr,unnamed:_0
Abid Ali,41.92,32.53,104.98,Australia,Dubai,25.05,24.03,133.49,1.03,2.91,Australia,Dubai,62.2,83.84,163.49,1.93,2.04,Australia,Dubai,3.84,5.16,0.0,0.0,0.0,Australia,Dubai,28.63,61.64,47.78,2.02,0.0,Australia,Dubai,92.48,114.67,78.33,7.01,3.84,Australia,Dubai,1.05,6.15,17.35,0.0,0.0,Australia,Dubai,6.23,14.02,44.59,1.03,0.0,Australia,Dubai,24.64,40.81,58.55,2.1,1.01,Australia,Dubai,75.23,129.69,59.76,5.11,1.01,Australia,Dubai,3.13,0.0,21.3,14.5,347.9,499.41,36.12,70.72,0.31,0.0,-141.73,3.57,5.23,Australia,Batsman,ODI,Home,New Zealand,Batting,Humid,78.02,25.33,58.65,21.57,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoaib Malik,55.77,51.6,116.51,Australia,Dubai,26.85,26.83,105.42,3.04,1.02,Australia,Dubai,123.09,124.97,105.05,6.9,6.08,Australia,Dubai,32.71,32.6,103.32,4.8,1.04,Australia,Dubai,7.61,13.08,59.63,0.0,1.05,Australia,Dubai,18.6,31.6,57.82,1.99,0.97,Australia,Dubai,10.04,9.64,104.83,2.08,0.0,Australia,Dubai,34.59,59.71,59.28,1.0,0.97,Australia,Dubai,23.87,32.88,66.76,4.16,0.0,Australia,Dubai,5.02,9.09,57.01,0.0,0.0,Australia,Dubai,1.02,0.98,33.37,11.9,345.98,401.85,34.45,88.01,0.1,0.1,-44.15,3.29,3.99,Australia,Batsman,ODI,Home,Bangladesh,Balanced,Overcast,62.05,43.93,51.41,23.94,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misbah-ul-Haq,108.87,103.92,103.47,Australia,Dubai,52.47,57.29,93.93,5.97,1.01,Australia,Dubai,122.2,111.08,113.63,11.9,1.9,Australia,Dubai,0.0,2.96,0.0,0.0,0.0,Australia,Dubai,3.01,8.21,36.6,0.0,0.0,Australia,Dubai,156.18,124.61,131.03,8.89,8.9,Australia,Dubai,0.0,1.96,0.0,0.0,0.0,Australia,Dubai,1.97,7.73,26.15,0.0,0.0,Australia,Dubai,134.79,118.2,108.42,11.19,2.91,Australia,Dubai,4.87,4.16,122.41,1.0,0.0,Australia,Dubai,0.98,4.0,51.25,17.22,602.15,535.59,56.97,106.76,0.1,0.38,42.43,5.57,5.38,Australia,Batsman,ODI,Away,England,Bowling,Humid,81.64,35.51,41.5,43.6,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azhar Ali,130.4,87.35,137.34,Australia,Dubai,14.44,26.68,56.91,1.9,0.0,Australia,Dubai,6.04,7.11,96.97,0.0,0.0,Australia,Dubai,28.12,56.14,50.72,0.98,0.97,Australia,Dubai,8.79,13.42,62.45,1.05,0.0,Australia,Dubai,47.19,24.19,180.92,3.9,3.12,Australia,Dubai,0.0,3.04,0.0,0.0,0.0,Australia,Dubai,55.49,81.52,68.58,5.92,0.0,Australia,Dubai,25.9,32.08,80.74,1.93,0.0,Australia,Dubai,62.04,89.36,72.02,4.98,0.98,Australia,Dubai,1.93,0.97,36.01,9.36,392.78,419.84,37.77,87.69,0.2,0.1,-44.77,3.84,4.24,Australia,Batsman,ODI,Home,South Africa,Balanced,Humid,83.54,40.48,67.63,34.98,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharjeel Khan,18.58,14.38,142.37,Australia,Dubai,4.13,8.7,45.29,0.0,0.0,Australia,Dubai,5.71,1.04,580.1,0.0,0.96,Australia,Dubai,27.13,31.07,86.57,3.98,0.0,Australia,Dubai,23.79,5.71,390.36,0.96,3.0,Australia,Dubai,8.92,4.88,178.04,1.03,0.0,Australia,Dubai,0.0,2.02,0.0,0.0,0.0,Australia,Dubai,10.95,24.98,41.49,0.0,0.0,Australia,Dubai,19.37,34.93,57.17,1.04,0.0,Australia,Dubai,15.63,9.58,167.44,3.14,0.0,Australia,Dubai,0.0,0.0,12.0,3.81,135.23,132.63,13.42,95.81,0.0,0.0,-4.1,1.33,1.4,Australia,Batsman,ODI,Away,Pakistan,Bowling,Clear,83.18,33.15,42.86,21.86,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmad Shahzad,0.0,2.02,0.0,Australia,Dubai,3.88,9.63,40.73,0.98,0.0,Australia,Dubai,14.98,24.97,56.22,1.93,0.0,Australia,Dubai,55.27,85.91,66.65,5.19,0.98,Australia,Dubai,15.01,24.81,61.1,2.09,0.0,Australia,Dubai,0.0,0.96,0.0,0.0,0.0,Australia,Dubai,95.77,106.47,81.94,4.8,6.95,Australia,Dubai,19.91,40.73,50.19,1.94,0.99,Australia,Dubai,40.53,63.91,67.72,7.29,0.0,Australia,Dubai,24.88,32.92,75.73,5.16,0.0,Australia,Dubai,2.04,0.0,29.47,8.89,270.73,403.29,28.52,68.58,0.19,0.0,-122.93,2.82,3.84,Australia,Batsman,ODI,Away,England,Batting,Clear,88.82,15.64,41.3,17.83,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammad Hafeez,72.39,52.15,123.61,Australia,Dubai,46.45,34.08,136.73,4.99,1.95,Australia,Dubai,13.57,19.95,66.8,1.9,0.0,Australia,Dubai,84.49,98.52,85.34,5.86,4.76,Australia,Dubai,44.82,54.72,77.45,2.98,2.01,Australia,Dubai,17.71,26.38,65.06,4.03,0.0,Australia,Dubai,31.94,60.32,52.53,4.05,0.0,Australia,Dubai,44.69,67.21,65.51,5.09,0.0,Australia,Dubai,80.89,93.74,84.77,7.07,2.05,Australia,Dubai,93.64,132.85,69.64,8.3,0.98,Australia,Dubai,3.92,0.0,48.72,15.6,523.95,660.62,55.36,81.05,0.41,0.0,-112.96,5.19,6.64,Australia,Batsman,ODI,Neutral,Sri Lanka,Balanced,Clear,68.34,41.86,69.65,38.82,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awais zia,12.52,23.63,55.49,Australia,Dubai,54.23,62.28,90.3,5.15,2.04,Australia,Dubai,4.06,12.46,32.75,0.0,0.0,Australia,Dubai,5.96,2.91,206.23,0.0,1.0,Australia,Dubai,55.3,23.27,98.13,2.88,2.08,Australia,Dubai,23.23,9.86,57.76,1.04,0.0,Australia,Dubai,1.01,0.98,0.0,0.0,0.0,Australia,Dubai,11.48,19.78,45.3,0.0,0.0,Australia,Dubai,0.0,1.92,0.0,0.0,0.0,Australia,Dubai,35.21,55.41,180.94,3.03,1.98,Australia,Dubai,2.03,0.0,14.44,7.09,197.27,207.56,19.81,100.07,0.21,0.0,-4.06,2.17,2.18,Australia,Batsman,ODI,Neutral,Afghanistan,Bowling,Humid,55.36,17.29,58.91,25.06,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,75.08,65.28,11.37,Australia,Dubai,43.15,55.63,79.72,2.01,0.0,Australia,Dubai,30.56,37.04,73.45,3.04,0.0,Australia,Dubai,64.31,51.02,88.85,0.98,2.1,Australia,Dubai,51.77,64.71,78.89,4.07,0.0,Australia,Dubai,4.1,4.89,81.32,1.01,0.0,Australia,Dubai,37.04,37.13,95.73,0.96,2.01,Australia,Dubai,61.64,52.6,112.17,4.88,1.03,Australia,Dubai,72.67,64.27,112.73,3.06,2.03,Australia,Dubai,36.3,65.56,58.79,2.06,0.0,Australia,Dubai,4.77,0.0,26.99,9.16,484.14,509.98,45.47,91.49,0.51,0.0,-24.32,4.96,5.09,Australia,Batsman,ODI,Home,New Zealand,Balanced,Clear,76.09,19.6,52.81,33.58,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zulqarnain Haider,6.72,4.96,139.16,Australia,Dubai,15.26,24.2,65.99,0.96,0.0,Australia,Dubai,64.46,64.79,93.29,3.09,1.94,Australia,Dubai,4.85,8.59,83.67,1.02,0.0,Australia,Dubai,4.82,9.38,53.48,0.0,0.0,Australia,Dubai,6.14,12.4,45.18,0.0,0.0,Australia,Dubai,22.24,44.81,181.31,0.0,0.0,Australia,Dubai,12.14,10.46,114.71,1.02,0.0,Australia,Dubai,33.54,57.05,232.5,1.91,0.0,Australia,Dubai,11.96,10.0,121.23,0.0,0.95,Australia,Dubai,0.99,0.0,9.02,3.0,177.63,252.31,17.59,74.66,0.1,0.0,-63.91,1.84,2.58,Australia,Batsman,ODI,Home,Afghanistan,Balanced,Humid,53.51,25.76,70.39,23.0,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
